iter	Passed	Remaining
863	1773	279
864	1774	276
865	1775	274
866	1777	272
867	1779	270
868	1781	268
869	1782	266
870	1784	264
871	1787	262
872	1788	260
873	1790	258
874	1791	255
875	1794	253
876	1795	251
877	1797	249
878	1798	247
879	1801	245
880	1803	243
881	1804	241
882	1805	239
883	1808	237
884	1809	235
885	1811	233
886	1812	230
887	1813	228
888	1817	226
889	1818	224
890	1819	222
891	1821	220
892	1824	218
893	1825	216
894	1826	214
895	1828	212
896	1830	210
897	1832	208
898	1833	206
899	1835	203
900	1836	201
901	1839	199
902	1840	197
903	1842	195
904	1843	193
905	1846	191
906	1848	189
907	1849	187
908	1851	185
909	1854	183
910	1856	181
911	1857	179
912	1858	177
913	1861	175
914	1862	173
915	1864	170
916	1865	168
917	1868	166
918	1870	164
919	1871	162
920	1872	160
921	1874	158
922	1877	156
923	1878	154
924	1880	152
925	1883	150
926	1885	148
927	1887	146
928	1889	144
929	1892	142
930	1893	140
931	1895	138
932	1897	136
933	1899	134
934	1901	132
935	1902	130
936	1907	128
937	1908	126
938	1911	124
939	1914	122
940	1916	120
941	1917	118
942	1920	116
943	1922	114
944	1925	112
945	1928	110
946	1930	108
947	1933	106
948	1937	104
949	1939	102
950	1940	100
951	1944	98
952	1946	95
953	1947	93
954	1950	91
955	1952	89
956	1954	87
957	1955	85
958	1959	83
959	1961	81
960	1963	79
961	1967	77
962	1969	75
963	1970	73
964	1973	71
965	1975	69
966	1977	67
967	1978	65
968	1982	63
969	1983	61
970	1984	59
971	1986	57
972	1989	55
973	1990	53
974	1992	51
975	1993	49
976	1995	46
977	1997	44
978	1999	42
979	2000	40
980	2003	38
981	2005	36
982	2006	34
983	2007	32
984	2009	30
985	2012	28
986	2014	26
987	2015	24
988	2017	22
989	2019	20
990	2021	18
991	2022	16
992	2025	14
993	2027	12
994	2028	10
995	2030	8
996	2032	6
997	2034	4
998	2035	2
999	2037	0
